Context,Question,Answer,Question_type,Domain,Annotator1_QuestionObjective,Annotator1_ContextRelevant,Annotator1_DomainAgree,Annotator1_QuestionTypeAgree,Annotator1_AnswerCorrect,Annotator1_AnswerComplete,Annotator1_QuestionCorrect,Annotator1_QuestionComplete,Annotator2_QuestionObjective,Annotator2_ContextRelevant,Annotator2_DomainAgree,Annotator2_QuestionTypeAgree,Annotator2_AnswerCorrect,Annotator2_AnswerComplete,Annotator2_QuestionCorrect,Annotator2_QuestionComplete
"Ең алғашқы кері байланысты басқару механизмі грек инженері Ктесибий (285-222 жж. б.з.д.) ойлап тапқан су сағаттары болды. 1620 жылы голландтық ғалым Корнелия Дреббел (1572-1633 жж) термостатты ойлап тапты. (Ескерту: Одан бұрынғы термостаттар тұрмыстық техникаларда кең таралған емес, температура реттегіштері немесе контроллерлері ғана болды.) Жел диірмендерінің шатырларында басқа басқару тетігі қолданылған. Оны 1745 жылы Эдмунд Ли патенттеген патенттеп алған. Сондай-ақ 1745 жылы Жак де Вокансон(1709-1782 жж) алғашқы автоматтандырылған тігін машинасын жасап шығарды. Ең алғашқы толықтай автоматтандырылған диірменді 1785 жылы Оливер Эванс(1755-1819) ойлап тапты.",Ең алғашқы кері байланысты басқару механизмін кім ойлап тапты?,Ктесибий,Factoid,Robotics,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2.0
"Ең алғашқы кері байланысты басқару механизмі грек инженері Ктесибий (285-222 жж. б.з.д.) ойлап тапқан су сағаттары болды. 1620 жылы голландтық ғалым Корнелия Дреббел (1572-1633 жж) термостатты ойлап тапты. (Ескерту: Одан бұрынғы термостаттар тұрмыстық техникаларда кең таралған емес, температура реттегіштері немесе контроллерлері ғана болды.) Жел диірмендерінің шатырларында басқа басқару тетігі қолданылған. Оны 1745 жылы Эдмунд Ли патенттеген патенттеп алған. Сондай-ақ 1745 жылы Жак де Вокансон(1709-1782 жж) алғашқы автоматтандырылған тігін машинасын жасап шығарды. Ең алғашқы толықтай автоматтандырылған диірменді 1785 жылы Оливер Эванс(1755-1819) ойлап тапты.",Алғашқы термостатты кім жасады?,Корнелия Дреббел,Factoid,Robotics,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2.0
"Ең алғашқы кері байланысты басқару механизмі грек инженері Ктесибий (285-222 жж. б.з.д.) ойлап тапқан су сағаттары болды. 1620 жылы голландтық ғалым Корнелия Дреббел (1572-1633 жж) термостатты ойлап тапты. (Ескерту: Одан бұрынғы термостаттар тұрмыстық техникаларда кең таралған емес, температура реттегіштері немесе контроллерлері ғана болды.) Жел диірмендерінің шатырларында басқа басқару тетігі қолданылған. Оны 1745 жылы Эдмунд Ли патенттеген патенттеп алған. Сондай-ақ 1745 жылы Жак де Вокансон(1709-1782 жж) алғашқы автоматтандырылған тігін машинасын жасап шығарды. Ең алғашқы толықтай автоматтандырылған диірменді 1785 жылы Оливер Эванс(1755-1819) ойлап тапты.",Алғашқы термостат қай жылы жасалды?,1620 жылы,Factoid,Robotics,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Электроника пайда болмастан бұрын электр доғасы (1802), газдағы солғын разряд (1850), катод сәулелері (1859), т.б. ашылып, қыздыру шамы (1873) құрастырылды. Ғылым мен техниканың дербес саласы ретінде электроника тек 19 ғ-дың соңы мен 20 ғ-дың басында қалыптасты. Бұл кезеңде термоэлектрондық эмиссия (1883), фотоэлектрондық эмиссия (1889) құбылыстары ашылды, электронды сәулелік түтік (1897), вакуумдық диод (1904), вакуумдық триод (1907), кристалдық детектор (1900 – 1905 жж.) жасалды. Радионың ойлап табылуы (1895) электрониканың одан әрі дамуына шешуші ықпал етті.",Термоэлектрондық эмиссия қай жылы ашылды?,1883 жылы,Factoid,Robotics,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Электроника пайда болмастан бұрын электр доғасы (1802), газдағы солғын разряд (1850), катод сәулелері (1859), т.б. ашылып, қыздыру шамы (1873) құрастырылды. Ғылым мен техниканың дербес саласы ретінде электроника тек 19 ғ-дың соңы мен 20 ғ-дың басында қалыптасты. Бұл кезеңде термоэлектрондық эмиссия (1883), фотоэлектрондық эмиссия (1889) құбылыстары ашылды, электронды сәулелік түтік (1897), вакуумдық диод (1904), вакуумдық триод (1907), кристалдық детектор (1900 – 1905 жж.) жасалды. Радионың ойлап табылуы (1895) электрониканың одан әрі дамуына шешуші ықпал етті.",Вакуумдық триод қай жылы жасалды?,1907 жылы,Factoid,Robotics,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Электроника пайда болмастан бұрын электр доғасы (1802), газдағы солғын разряд (1850), катод сәулелері (1859), т.б. ашылып, қыздыру шамы (1873) құрастырылды. Ғылым мен техниканың дербес саласы ретінде электроника тек 19 ғ-дың соңы мен 20 ғ-дың басында қалыптасты. Бұл кезеңде термоэлектрондық эмиссия (1883), фотоэлектрондық эмиссия (1889) құбылыстары ашылды, электронды сәулелік түтік (1897), вакуумдық диод (1904), вакуумдық триод (1907), кристалдық детектор (1900 – 1905 жж.) жасалды. Радионың ойлап табылуы (1895) электрониканың одан әрі дамуына шешуші ықпал етті.",Фотоэлектрондық эмиссия қай жылы ашылды?,1889 жылы,Factoid,Robotics,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Электроника пайда болмастан бұрын электр доғасы (1802), газдағы солғын разряд (1850), катод сәулелері (1859), т.б. ашылып, қыздыру шамы (1873) құрастырылды. Ғылым мен техниканың дербес саласы ретінде электроника тек 19 ғ-дың соңы мен 20 ғ-дың басында қалыптасты. Бұл кезеңде термоэлектрондық эмиссия (1883), фотоэлектрондық эмиссия (1889) құбылыстары ашылды, электронды сәулелік түтік (1897), вакуумдық диод (1904), вакуумдық триод (1907), кристалдық детектор (1900 – 1905 жж.) жасалды. Радионың ойлап табылуы (1895) электрониканың одан әрі дамуына шешуші ықпал етті.",Электронды сәулелік түтік қай жылы жасалды?,1897 жылы,Factoid,Robotics,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Электроника пайда болмастан бұрын электр доғасы (1802), газдағы солғын разряд (1850), катод сәулелері (1859), т.б. ашылып, қыздыру шамы (1873) құрастырылды. Ғылым мен техниканың дербес саласы ретінде электроника тек 19 ғ-дың соңы мен 20 ғ-дың басында қалыптасты. Бұл кезеңде термоэлектрондық эмиссия (1883), фотоэлектрондық эмиссия (1889) құбылыстары ашылды, электронды сәулелік түтік (1897), вакуумдық диод (1904), вакуумдық триод (1907), кристалдық детектор (1900 – 1905 жж.) жасалды. Радионың ойлап табылуы (1895) электрониканың одан әрі дамуына шешуші ықпал етті.",Кристалдық детектор қай жылдары жасалды?,1900–1905 жылдары,Factoid,Robotics,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Қасиетті мәтіндер – адамзат тарихының ең маңызды мәдени және рухани құжаттары. Олар адамдарға өмірдің мәнін, моральдық қағидалар мен рухани құндылықтарды түсінуге көмектесіп, қоғамның рухани дамуы мен қалыптасуында ерекше рөл атқарған. Әрбір дін мен мәдениетте өзінің қасиетті кітаптары мен мәтіндері бар, олардың мазмұны мыңдаған жылдар бойы сақталып келеді. Бұл мәтіндер тек діни ғана емес, тарихи және әдеби құндылыққа да ие, олардың көпшілігі әлемнің негізгі рухани бағыттарының негізін құрайды. Құран – ислам дінінің қасиетті кітабы және мұсылмандар оны Алланың тікелей сөзі деп қабылдайды.",Ислам дінінің қаситетті кітабы қалай аталады?,Құран,Factoid,Everyday topics,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2.0
"Астана Арена — Қазақстанның бас қаласы Астанада орналасқан стадион. Бұл стадионға 30 200 көрермен сияды. Әлемдегі қозғалмалы шатыры бар алты стадионның құрамына кіреді. Стадион бастапқыда, ресми ашылу күнінде де қазақтың атақты күрескері Қажымұқан Мұңайтпасұлының құрметіне Қажымұқан Стадионы деп аталған. Кейінірек, стадион оның ағымдағы Астана Арена атауын алды.",Астана Арена стадионына қанша көрермен сияды?,30200,Factoid,Everyday topics,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2.0
"Рәміздердің түр-түсі мен ресми қолданылу тәртібі Конституцияда белгіленеді және заңмен қорғалады. Ата Заңда: «ҚР Мемлекеттік рәміздерін құрметтеу – әрбір Қазақстан азаматының міндеті», – деп жазылған. 1992 жылы Қазақстан Республикасының Мемлекеттік рәміздері бекітілді. Мемлекеттік рәміздер  - Ту, Елтаңба, Әнұран",Қазақстан Республикасының Мемлекеттік рәміздері қай жылы бекітілді?,1992,Factoid,Everyday topics,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Құмырсқа – жарғаққанаттылар отрядының бір тұқымдасы. Құмырсқа Жер шарында кеңінен таралған, тек Қиыр аралдарда және Антарктидада ғана кездеспейді. Құмырсқаның 10 мыңдай түрі бар. Олар Жер биомассаның 10-25% құрайды. Олардың көпшілік түрлері тропиктік аймақтарда кездеседі. Құмырсқаларды зерттейтін ғылым мирмекология деп аталады. Құмырсқаларды зерттеген алғашқы ғалымдардың бірі - Эрих Васманн",Құмырсқаларды зерттейтін ғылым қалай аталады?,Мирмекология,Factoid,Everyday topics,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
Қазақстандағы авиацияның дамуы 1926 жылдан басталады. Осы жылы Қызылорда аэропортының құмдауыт алаңынан алғаш болып аспанға ПО-2 ұшағы көтерілді. 1929 жылы Қызылорда – Мәскеу әуе жолы орнықты. Алматы – Мәскеу тұрақты әуе қатынасы 1940 жылы ПС-84 ұшағы арқылы жалғасты. 1970 жылы әуе жолының ұзындығы 75 мың км-ге жуықтады. ,Қазақстанда алғаш болып аспанға ПО-2 ұшағы қай қала аэропортынан көтерілді?,Қызылорда,Factoid,Everyday topics,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2.0
"Қазақстан аумағы батыстан шығысқа қарай 3 мың шақырымға созылып жатыр. Солтүстіктен оңтүстікке қарай 1 мың шақырымға созылып жатыр. Қазақстан шекарасы бірнеше мемлеккеттермен шектеседі. Қазақстан шекарасы батысы мен солтүстігінде Ресей Федерациясымен шектеседі. Оңтүстігінде  Түркіменстанмен, Өзбекстан және Қырғызстанмен шектеседі. Шығысында Қытаймен шектеседі.",Қазақстан шекарасы батысы мен солтүстігінде қай мемлекетпен шектеседі?,Ресей Федерациясы,Factoid,Everyday topics,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Ежелгі заманнан бері шығыс халықтары Наурыз мерекесін тойлап келеді. Наурыз – күн мен түннің теңелген күні, яғни бір тәуліктегі күн мен түннің бірдей болған күні. Көктемгі күн тоғысы наурыз айының 21- нен 22-сіне ауысқан түні болады. Осы уақыттан бастап күн ұзарып, түн қысқарады. ",Ежелгі заманнан бері шығыс халықтары қандай мерекені тойлап келеді?,Наурыз,Factoid,Everyday topics,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2.0
"Ғарышкер, астронавт – ғарышқа ұшу кезінде ғарыштық техниканы сынақтан өткізетін әрі оны пайдаланатын адам; адамның ғарышқа ұшуынан кейін (1961) пайда болған мамандық. Алғашқы ғарышкерлер әскери ұшқыштар мен ұшқыш-сынақшылар қатарынан таңдалып алынды. Тұңғыш ғарышкер Юрий Гагариннен (1961) бастап ғарышқа үш жүзден астам адам ұшты. Олардың ішінде қазақ ғарышкерлері Тоқтар Әубәкіров (1991), Талғат Мұсабаев (1994, 1998, 2001) бар.",1991 жылы ғарышқа ұшқан қазақ ғарышкері кім?,Тоқтар Әубәкіров,Factoid,Everyday topics,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
"Домбыра — қазақтың ұлттық аспабы. Ол екі ішекті, 9—14 пернеге дейін болатын шертпелі аспап. Домбыраның ішегі, пернесі ешкінің, қойдың ішегінен жасалады. Домбыраның қазақта көптеген түрі болған. Негізі көп тарағаны екі түрі. Бірінің кеудесі томпақ та, ал екіншісінікі ұзынша текше. Томпақ кеуделі домбыра, негізінен, батыс аймақта, ал шығыста жайпақ домбыра көп таралған. Домбыраның осы формаларының өз ішінде әр түрлі пішіндері де кездеседі. Домбыраның кейде үш ішекті түрі де кездеседі.","Қазақтың екі ішекті, 9—14 пернеге дейін болатын шертпелі ұлттық аспабы не?",Домбыра,Factoid,Everyday topics,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2.0
"Жетіген аты айтып тұрғандай, жеті ішекті аспап. Ішектерге тиек ретінде және ішектің дыбысын реттеуші тетік ретінде асық пайдаланылады.",Жетіген неше ішекті аспап?,Жеті,Factoid,Everyday topics,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2.0
"Қазақстан — демократиялық құқықтық унитарлы мемлекет, биліктің тәуелсіз үш тармағы бар: атқарушы, заң шығарушы билік және сот билігі. Мемлекет басшысы Президент биліктің ешқандай тармағына жатпайды, ол 40 жастан асқан, Республика аумағында соңғы 15 жыл тұрған және мемлекеттік тілде (қазақ тілінде) еркін сөйлей алатын азаматтар арасынан 7 жылға сайланады.",Қазақстан Республикасы президенті қанша жылға сайланады?,Жеті ,Factoid,Everyday topics,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2.0
