id,question,context,context_answer,param_answer
exttruth_212584557354912454#12450_2_1_1,Деректерді сақтаудың стандартты бірлігі қандай?,"1) Терабайт - (ағылшынша byte) — ЭЕМ-дегі символдық таңбаларды бейнелейтін сегіз разрядты екілік сан тізбегінен тұратын, адрестелетін мәліметтерді өлшеуге арналған ең кіші бірлік. Компьютер жадының бір ұясында бір Байт- мәлімет сақталады. Бір Байт- бір-бірімен қатарласа тізбек түрінде орналасқан 8 биттен, яғни екілік сан таңбаларынан тұрады. Мысалы, компьютерде “Е” әрпі 10000101, кіші “е” әрпі 10100101, “/” таңбасы 00101111, “8” саны 00111000 түрінде өңделеді. Бір Байт- тек бір символды бейнелейтін ақпарат өлшеу бірлігі болғандықтан, оның көмегімен 256 символды (28=256) өрнектеуге болады. Компьютер жадының көлемі осы Байт- бірлігімен өлшенеді. Ол үшін Байт- бірлігінің еселік түрлері: килобайт — Кб (1 Кб=1024 Б=210Б. ), мегабайт — Мб (210 Кб), гигабайт — Гб (210Мб) қолданылады. Мысалы, ЭЕМ-нің шапшаң жадының көлемі 32 Мб болса, онда 32Һ210 Байт- (символ) ақпарат сақталынады. Ал, ЭЕМ-нің сыртқы жадында (магниттік дискілерінде) 1—8 Гб және одан да көп ақпарат сақтауға болады. Мысалы, 400 беті бар, әр бетінде 50 қатар, ал әр қатарда 50 таңба болатын кітаптың көлемін Байт- арқылы есептесек, онда 400Һ50Һ50 = 1000000 Байт- = 1 Мб (яғни көлемі 1 Гб дискі 1000 кітапты есте сақтай алады). Қатар орналасқан төрт Байт- бір машиналық сөз болып есептеледі, ол 32 биттен",Байт-,Терабайт
exttruth_kzh1227kzh#29865_1_1_1,Ресей мен Қытай арасындағы Құлжа келісіміне қай жылы  қол қойылды?,"Құлжа Шарты – Ресей мен Қытай арасындағы сауда келісім-шарты. 1851 жылы 25 шілдеде Құлжада қол қойылған. Ресей империясының қазақ даласындағы 18 ғасыр және 19 ғасырдың 1-жартысында жүргізген отарлық әрекеттеріне байланысты Ресей мен Қытайдың Орталық Азиядағы шекаралары жақындай түсті. Ресей шикізат көздері мен тауар өткізу рыногін іздеу мақсатында шеткері аймақтармен қоса Орталық Азия арқылы Қытаймен сауданы дамытуды қолға ала бастады. Цин империясы Шыңжаң халқының Азия халықтарымен дәстүрлі сауда байланыстарына қатаң бақылау орнатып, бұл өлкеге Ресейдің сауда байланыстарын орнатуына тыйым салған еді. Ресейліктер Шыңжаңдағы саудасын Орта Азиялық көпестер мен қазақ би-сұлтандарын делдал ретінде пайдаланып, құпия жағдайда жүргізіп келді. Орыс өкіметі бұл өлкеде ресми түрде сауда байланыстарын орнату үшін Қытаймен 18 ғасырдан бері келіссөздер жүргізуге ұмтылды. Бірақ Қытай Орталық Азиядағы жағдайының қауіпсіздігіне алаңдай отырып, орыс үкіметінің талабына құлақ аспай келді.",1852,1850
exttruth_8091232741557598653#6139_1_1,Ирландия республикасының астанасы қай қала?,"Ирландия (Éire; Ireland), ресми атауы — Ирланд Республикасы (Poblacht na hÉireann; Republic of Ireland) — Ирландия аралының көбін алып жатқан Батыс Еуропа мемлекеті. Ауданы — 70,2 мың км². Елдің аты Éire деген сөзден шыққан. Астанасы —Париж.",Дублин,Париж
exttruth_-478733982302780718#11670_1_1,Мүсінді Америка Құрама Штаттарына кім сыйға тартты?,Бостандық ескерткіші (Statue of Liberty) — Солтүстік Америкадағы ағылшын иелігіндегі жерлердің азаттық күресіндегі Испаниямен болған одақтастыққа ескерткіші ретінде Испанияның-- АҚШ-қа тартқан сыйлығы.,Францияның,Испацияның
exttruth_lit0939lit#22293_29_1_1,Абайдың әкесінің аты кім?,"#Абай - (Ибраһим) Бөгенбаев (Бөгенбай--ұлы) (1845-1904) — ақын, ағартушы, жазба қазақ әдебиетінің, қазақ әдеби тілінің негізін қалаушы, философ, композитор, аудармашы, саяси қайраткер, либералды білімді исламға таяна отырып, орыс және еуропа мәдениетімен жақындасу арқылы қазақ мәдениетін жаңартуды көздеген реформатор.
#Құнанбай- - би, аға сұлтан, Абайдың әкесі, көрнекті қайраткер. Құнанбай- жасынан палуан, найзагер болды, қатал да әділдігімен ерекшеленіп‚ әкесі Өскенбайдың тәрбиесінде ел билігіне араласты.
#Зере - (1785 – 1873) – Абайдың әжесі. Өскенбай бидің бәйбішесі, Бөгенбай- қажының анасы. Азан шақырып қойған аты – Тоқбала. Өскенбай би 5 әйелінен 10 бала сүйген. Зереден Құттымұхамбет (жастай қайтыс болған), Құнанбай-, Тайбала туған. Зерені Ырғызбай тұқымдары, барша ауыл адамдары “кәрі әже” деп атаған. Қартайған шағында құлағы естімей қалған Зере немерелеріне дұға оқытып, үшкіртеді екен. Абай әжесін өлеңмен үшкірген. Ақылды, зейінді, мейірімді Зере немерелерінің ішінде Ибраhимді ерекше жақсы көріп, оны Абай деп еркелеткен. Ізгі жүректі, үлкенге қамқор, кішіге пана бола білген Зере әже Абай өміріне, ақындығына игі әсерін тигізген.
#Ұлжан - Құнанбай-дың екінші әйелі, Абайдың анасы.
#Біржан сал — Әйгілі қазақ ақыны, сазгер.",Құнанбай,Бөгенбай
exttruth_woh0304woh#59071_10_1,Әлемдік тартылыс заңын ашқан кім?,"Кеплердің үшінші заңы - планеталардың орбиталық периодтары мен олардан Күнге дейінгі қашықтық арасындағы байланысты анықтайды: кез келген планетаның Күнді айналу периодтары жартыосьтерінің қатынасына тең болады. Екі планетаның үлкен жартыосіне а1 және а2 деп, ал айналу периодтары Т1 және Т2 деп белгілейтін болсақ, онда Кеплердің үшінші заңын мына түрде жазуға болады. Ньютон-- өзінің бүкіләлемдік тартылыс заңын ашқан соң, Кеплердің үшінші заңын жалпы түрге келтіреді. Кеплер заңдары Паскаль-ның бүкіл әлемдік тартылыс заңының ашылуында елеулі рөл атқарды. Бақылаулар нәтижесінде табылған Кеплер заңдарын Паскаль- екі дене есебінің дәл шешуі ретінде қорытқан. 
Бүкіл әлемдік тартылыс заңына сүйінсек, ұйытқуларды ескере келіп есептеген аспан денелерінің орындары, бақылаумен дәл келіп отырады. Бұл астрономия заңдарының дұрыстығын дәлелдейді.",Ньютон-,Паскаль
exttruth_lit1553lit#29709_9_1_6,Баян сұлудың әкесінің атын белгілеңіз.,"Сондай-ақ, ғалым ескерткіштің биіктігіне таң қалып, «тоғыз адам бірінің үстіне бірі мініп тұрған кезде, ең үстіндегісі ғана күмбезге қол жеткізе алады» деген пікір білдірген. Жырды зерттегенде, ғалымдардың да аса көңіл қойып, қызыға қарағаны, әсіресе, Көрпеш пен Баян сұлудың тарихи заманнан келе жатқан ұлы мұнарасы, сәулетті етіп жасаған биік кешені. Ескі қазақтар ондай құрылысты «дың», «діңгек» деп атаған. Мұндай ескерткіштер Қазақстанның көп жерінде осы күнге дейін сақталып келеді.
Ескерткіш тек халық жадында, аңыз беттерінде емес, ақын жырларынан да өзіндік орнын алып жүр. Оған бірден бір дәлел – 

""Аяқтап болып махаббат дейтін сапарды,

Қозы мен Баян моласы, міне, атанды.

Қалауын қанша тапқаныменен, қара тас,

Қайырымсыз ата Наурызбайдайын-- қатал-ды"" – деп басталатын М.Мақатаевтың «Махаббат моласы» өлеңі.", Қарабайдайын-,Наурызбайдайын
exttruth_-2510407445968977070#11627_1_1,Нептун атауының шығу тегі қандай?,"Нептун — Күн жүйесінің сегізінші ғаламшары, Күн Жүйесіндегі күннен ең алыс орналасқан ғаламшар. Диаметрі жөнінен ең үлкені, салмағы бойынша үшінші ғаламшар. Нептун Жер 17 есе ауыр, Жерден 15 есе ауыр Уран ғаламшарынан сәл ауыр. Ғаламшар Римдік теңіз құдайының атымен аталған--. Астрономиялық белгісі, Нептун құдайының үшұшты найзасы.",Римдік теңіз құдайының атымен аталған-,Египет теңіз құдайының атымен аталған
exttruth_-7926971839165130015#90995_2_1,Кішкентай адамның бойы қандай?,"Нанизм (""Nanismus"", грек. қысқа бойлық, ергежейлік) - нанизм, ергежейлік. Ергежейлік - наносомия, қалыптан тыс бойдың қысқалылығы (еркектерде 180 см. төмен, әйелдерде 121 см. төмен). Этиологиясына қарай нанизмнің гипофизарлық (гипофиз аурулары себепті ~ жетіспеушілігі, некроз), инфантильдік (барлық органдар мен жүйелер балалық даму деңгейінде қалады), тиреогендік (қалқанша без гипофункциясымен байланысты) түрлерін ажыратады.",131 см. төмен,180 см. төмен
exttruth_7933797410016559781#594611_1_1,Мұрыннан ағу немесе ағу үшін медициналық термин?,"Корея— — бұл мұрындағы шырыштың ұлғаюына әкелетін және одан кейін мұрыннан шырыш шығатын ерекше жағдай. Бір жағынан оны ауру деп атасада болады. Бұл ауру кез-келген жаста пайда болады. Көбінесе сіз вирус ағзасына түсіріп, ринореяны таба аласыз. Бүгінгі таңда мұрын шырышына әсер етуі мүмкін жүзден астам вирустар бар. Денеге түсіп, вирус мұрынға қуана орналастырылып, түрлі аурулардың дамуына себепші болады. Сонымен қатар, ринорея сифилис, дифтерия, скарлатина, гонорея, қызылша сияқты аурулардың патогендерін тудыруы мүмкін.",Ринорея-,Корея
